YEAR,Start_Year,Home_Value
2014,0,"93,302"
2015,1,96260
2016,2,100736
2017,3,108444
2018,4,120975
2019,5,130568
2020,6,137211
2021,7,160883
2022,8,170771
2023,9,173751
