YEAR,Car_Age,MILEAGE,CAR_PRICE
2017,6,67165,22992
2010,13,62300,22999
2012,11,69524,20992
2018,5,27154,22495
2018,5,67118,19886
2015,8,99008,13410
2015,8,113391,14994
2014,7,59118,16499
2023,0,5,54105
2017,6,48038,31797
